epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,518.105,0.88323,1.05234,0.98983,0.78926,0.8,0.91875,0.64977,0.49379,4.67875,0.50447,0.000834822,0.000834822,0.000834822
44,525.499,0.91827,1.09783,0.96067,0.82808,0.8,0.90941,0.63407,0.50061,5.49844,0.51611,0.000820675,0.000820675,0.000820675
45,532.827,0.88031,1.05758,0.92885,0.80967,0.8,0.90188,0.64551,0.50977,6.64955,0.5161,0.000806528,0.000806528,0.000806528
46,540.043,0.94713,1.12445,0.96308,0.69678,0.87021,0.87651,0.63129,0.5376,6.78907,0.52834,0.00079238,0.00079238,0.00079238
47,547.212,0.80522,0.93384,0.90536,0.72417,0.77318,0.88562,0.63212,0.54833,6.26275,0.52859,0.000778233,0.000778233,0.000778233
48,554.356,0.7482,1.14379,0.91597,0.74588,0.65,0.88077,0.64713,0.54137,6.13093,0.52859,0.000764086,0.000764086,0.000764086
49,561.551,0.8662,1.06316,0.89211,0.72428,0.65,0.86078,0.63759,0.5275,5.73025,0.52424,0.000749939,0.000749939,0.000749939
50,568.827,0.93627,0.95789,0.97887,0.77027,0.65,0.8704,0.6367,0.51186,5.52479,0.51606,0.000735792,0.000735792,0.000735792
51,576.043,0.84238,0.90685,0.91921,0.78905,0.65205,0.8705,0.63471,0.51992,5.47334,0.51715,0.000721645,0.000721645,0.000721645
52,583.319,0.91372,0.93265,1.00174,0.99417,0.5,0.8808,0.62456,0.53798,5.30926,0.52682,0.000707498,0.000707498,0.000707498
53,590.448,0.89126,0.91678,0.95999,0.65783,0.6834,0.90166,0.64411,0.51998,5.07092,0.52404,0.000693351,0.000693351,0.000693351
54,597.537,0.81423,0.87492,0.93555,0.98859,0.5,0.90465,0.65692,0.51711,5.22294,0.5272,0.000679204,0.000679204,0.000679204
55,604.777,0.78665,1.01295,0.95652,0.68332,0.6683,0.92349,0.66612,0.51026,5.31656,0.52504,0.000665057,0.000665057,0.000665057
56,612.18,0.86117,1.02833,0.93581,0.76612,0.74666,0.90889,0.64871,0.53005,4.77065,0.52693,0.000650909,0.000650909,0.000650909
57,619.421,0.74317,0.81052,0.91741,0.76509,0.8,0.90889,0.65129,0.51196,4.35492,0.51837,0.000636762,0.000636762,0.000636762
