epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.95034,0,47.2699,0,0,0,0,0,0,39.2957,0,7.145e-05,7.145e-05,7.145e-05
2,15.5632,0,46.1016,0,0,0,0,0,0,39.2458,0,0.000155634,0.000155634,0.000155634
3,23.0897,0,44.3989,0,0,0,0,0,0,39.0695,0,0.00023812,0.00023812,0.00023812
4,30.7311,0,42.7753,0,0,0,0,0,0,38.9781,0,0.000318909,0.000318909,0.000318909
5,38.0734,0,41.3436,0,0,0,0,0,0,38.9957,0,0.000397999,0.000397999,0.000397999
6,45.3913,0,39.7351,0,0,0,0,0,0,38.943,0,0.000475393,0.000475393,0.000475393
